OBJECTID,FacilityID,Installati,OWNER,OPERATINGC,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
69,MH8,913334400000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77231264,-88.16725659
70,MH3,913334400000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.76950823,-88.18405995
71,MH4,913334400000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77060798,-88.18092068
72,MH1,913334400000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77130275,-88.17858715
73,SC2,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7789353,-88.15079833
74,SC1,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77193595,-88.1548027
75,P30-MH1,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77477905,-88.13704334
76,P1-MH2,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77521267,-88.14870786
77,MH1,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77250794,-88.15137102
78,P8-MH1,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77280131,-88.14503531
79,MH3,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77464546,-88.14788284
80,P4-MH1,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77817731,-88.13335797
81,P29-MH1,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77837334,-88.1429366
82,P1-MH1,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7746739,-88.15124407
83,MH2,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77254564,-88.14532173
84,P1-MH1,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77524863,-88.15013422
85,SC1,833932800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77769189,-88.17710023
86,MH1,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7789353,-88.15079833
87,MH1,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77193595,-88.1548027
88,SC1,833932800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77821299,-88.1294454
89,SC1,833932800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7695041,-88.18393295
90,MH1,833932800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77126802,-88.17894492
91,MH1,833932800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.76837698,-88.18354783
92,SC1,833932800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77878536,-88.15081347
93,T1-J1,913334400000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77818233,-88.17752893
94,T4-J5,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77094461,-88.18052193
95,S4-T1J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77128266,-88.17888468
96,T1-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77849796,-88.17705643
97,T1-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77852758,-88.17639683
98,SC1-T2-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77807728,-88.17609309
99,T5-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77800313,-88.17403184
100,T7-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77821555,-88.17123673
101,T7-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77832999,-88.17184344
102,T7-J4,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77773824,-88.17016322
103,T7-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77799212,-88.17063675
104,T4-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77826798,-88.1730868
105,T1-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77681341,-88.17630086
106,T1-J4,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77583078,-88.17548395
107,T1-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77732909,-88.1767677
108,T1-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7751754,-88.17294428
109,T3-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77485835,-88.17387384
110,T3-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77509543,-88.17381212
111,T3-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77449615,-88.17471422
112,T1-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77625395,-88.17388468
113,T1-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77615676,-88.17197178
114,J5,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77720997,-88.17141183
115,T4-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77728142,-88.17258163
116,T4-J4,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77726604,-88.17308811
117,T1-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77455722,-88.17580804
118,T1-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77525698,-88.16915547
119,T1-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77465664,-88.16826824
120,T1-J4,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77592396,-88.16889756
121,T1-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77640968,-88.16984102
122,T1-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77672799,-88.16954662
123,T1-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77592557,-88.17025582
124,T2-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7738573,-88.17405184
125,T2-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77411583,-88.17212409
126,T1-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77420694,-88.17306698
127,T2-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77307222,-88.17327274
128,T3-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77222518,-88.17180916
129,T1-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77228145,-88.17061859
130,T1-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77368395,-88.16783169
131,T1-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77213895,-88.17464196
132,T1-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77183024,-88.1705523
133,T1-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77161777,-88.17057249
134,T1-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77139111,-88.17054837
135,J1,833932800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77208427,-88.16872824
136,T2-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77042914,-88.17431583
137,T1-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.76931955,-88.17437806
138,T4-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77127572,-88.17314475
139,T5-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77134481,-88.17203547
140,T2-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77077902,-88.17434658
141,T1-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.76721814,-88.17386926
142,T2-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.76841931,-88.17399671
143,T2-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.76791139,-88.17397445
144,T3-J4,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.76825233,-88.17021671
145,T3-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.76865228,-88.17025889
146,T3-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.76945155,-88.17034312
147,T2-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.76985099,-88.17038542
148,T2-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77065879,-88.17047095
149,T11-J4,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.76873143,-88.17152663
150,T11-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.76846205,-88.17149748
151,T7-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7703669,-88.17256076
152,T1-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77713722,-88.17742238
153,T1-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77701258,-88.17770995
154,T1-J4,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77685437,-88.1782084
155,T1-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7768774,-88.17793524
156,T3-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77652523,-88.1812513
157,T3-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77664807,-88.18094877
158,T2-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77674641,-88.17993517
